Artillery Company of Newport,"23 Clark Street
", 540-882-3018, 540-882-3921, info@waterfordva.org, www.waterfordva.org,"History,Historical Society,","Ms. Eric Breitkreutz, Executive Director",,"Ms. Kathleen Hughes, Manager, Development Programs",,,
Watermen's Museum,"Watermen's Museum
309 Water Street
Yorktown, VA 23690
", 757-887-2641, 757-888-2089, info@watermens.org, www.watermens.org,"History,","Judith P. Hark, President, Board of Directors",phone: 804-684-0758,"John A. Hanna, Acting Executive Director ",,"Carol Tyrer, Vice President",,"Linda Myers, Office Manager",phone: 757-887-2641,,
Waynesboro Heritage Foundation,"Waynesboro, VA 22980
",,,,,,"Ms. Marie Overstreet, Treasurer",phone: 540-943-3943,,
"Wayside Fndn. of American History & Arts, Inc.","33229 Old Valley Pike
Strasburg, VA 22657
",,,,,"Art,","Ms. Babs Melton, Director",phone: 540-465-5884,,
West Point Area Historic Museum,"West Point, VA 23181
",,,,,"History,",,
"Westmoreland County Museum and Library, Inc.","43 Court Square
Montross, VA 22520
", 804-493-8440, 804-493-1224, wcmuseum@verizon.net, www.westmoreland-county.org,"History,Library,","Ms. Vicki Fairchild Miller, Executive Director",,,
Wilderness Road Regional Museum,"5240 Wilderness Road
Dublin, VA 24084
", 540-674-4835,, wrrm@comcast.net, www.newriverheritage.org/members-wildernessroad.htm,"Culture,History,Historic House,Historical Society,,Services,Gift ShopGroup Tours,","Andrew M Hambin, President, New River Historical Society",phone: 540-629-2143,e-mail: ahamblin101@hotmail.com,,
Wilderness Road State Park,"Ewing, VA 24248
",,,, www.dcr.virginia.gov/state_parks/wil.shtml,"Park,","Mr. Don Harris, Assistant Park Manager",phone: 540-445-3065,,
William E. Rouse Library,"115 Harbour Drive
Hampton, VA 23661
",,,,,"Library,",,
William King Museum,"415 Academy Drive
Abingdon, VA 24212
", 276-628-5005, 276-628-3922, info@wkmuseum.org, williamkingmuseum.org,"Art,Culture,History,Historic House,,Services,Gift ShopSpecial Event Rental,Group Tours,","Ms. Betsy White, Executive Director",phone: 276-628-5005 x11,e-mail: bwhite@wkrac.org,"Suzanne Brewster, Deputy Director",phone: 276-628-5005 x17,e-mail: sbrewster@wkrac.org,"Kathy Lowdermilk, Director of Marketing",e-mail: klowdermilk@wkmuseum.org,"Katie Carrico, Director of Public Relations/Guest Services",e-mail: kcarrico@wkmuseum.org,,
Willie Hodges Booth Museum,"Brookneal, VA 24528
",,,,,"History,","Mrs. Vincent Lusardi, Chairman",phone: 804-376-2264,,
Wilton House Museum,"215 S. Wilton Rd.
Richmond, VA 23226
", 804-282-5936,, rstrohm@wiltonhousemuseum.org, www.wiltonhousemuseum.org,,"Robert Strohm, Executive Director",e-mail: rstrohm@wiltonhousemuseum.org,,
Winchester-Frederick County Historical Society,"1340 South Pleasant Valley Road
Winchester, VA 22601
", 540-662-6550,,, www.winchesterhistory.org,"Historical Society,","Ms. Cissy Shull, Executive Committee",e-mail: wfchs@shentel.net,,
Wise Art Gallery,"Hamm Fine Arts Building
2401 Corprew Ave.
Norfolk, VA 23504
", 757-683-8844,,, www.nsu.edu/wisegallery/,"Art,",,
Wise County Historical Society,"Main Street
Wise, VA 24293
", 276-328-6451,, wchs_133@yahoo.com, www.wisevahistoricalsoc.org,"Historical Society,",Paul Kilgore,,"Mr. William C. Gobble, President",,,
Wolf Creek Indian Village & Museum,"6394 North Scenic Highway
Bastian, VA 24314
", 276-688-3438, 276-688-2496, info@indianvillage.org, www.indianvillage.org/,,,
The Woman's Club,"211 East Franklin Street
Richmond, VA 23226
", 804-643-2847,,, www.twcrichmond.org,"Historic House,","Ms. Connie Evans, Administrator",,"Jennifer I. Curtis, Office Manager",phone: 804-643-2847,e-mail: jcurtis@twcrichmond.org,,
Woodlawn Plantation/Pope Leighey House,"Mount Vernon, VA 22121
",,,,,"History,","Mr. Ross Randall, Director",phone: 703-780-4000,,
Woodrow Wilson Presidential Library & Museum,"20 N Coalter St
Staunton, VA 24401
", 540-885-0897, 540-886-9874, info@woodrowwilson.org, www.woodrowwilson.org,"Historic House,,Services,Gift ShopGroup Tours,","Mr. Patrick Clarke, Executive Director",,"Janet Campbell, Director of Administration and Finance",e-mail: jcampbell@woodrowwilson.org,"William R.  Browning, Director of Public Affairs",e-mail: wbrowning@woodrowwilson.org,"Marcene Molinaro, Director of Museum Operations",phone: 540-885-0897,e-mail: mmolinaro@woodrowwilson.org,"Robin Von  Seldeneck, Director of Administration",phone: 540-885-0897,e-mail: rvonseldeneck@woodrowwilson.org,"Peggy Dillard, Director of Library & Archives",phone: 540-885-0897,e-mail: pdillard@woodrowwilson.org,,
Wren Building,"Williamsburg, VA 23185
",,,,,"History,",,
Wythe County Historical Society,"115 West Spiller Street
Wytheville, VA 24382
", 276-228-6061,, wch_library@wytheville.org,,"Historical Society,",,
Wythe-Grayson Regional Library,"Independence, VA 24348
",,,,,"Library,","Mr. T. Michael Gilley, Regional Library Director",phone: 540-773-3018,,
York County Historical Committee,"224 Ballard Street
Yorktown, VA 23692
", 757-890-3320,, bos@yorkcounty.gov, yorkcounty.gov/Default.aspx?tabid=6569,"Archaeology,Culture,General,History,Historic House,Park,","Ms. Bonnie Karwac, Vice Chair of Museum Board",phone: 757-898-3727,e-mail: bonnielk@yahoo.com,,
York County Historical Society,"Yorktown, VA 23692
",,, yorkcountyhistory@yahoo.com,,"Historical Society,",,
Yorktown Arts Foundation,"7907 Geo. Washington Memorial Highway
Yorktown, VA 23692
", 757-898-3076,,,,"Art,","Helen Hughes, Gallery Manager",phone: 757-898-3076,,
Yorktown Victory Center,"Williamsburg, VA 23187
", 757-253-4838, 757-253-5299,, www.historyisfun.org,,"Mr. Edward Ayres, Staff Historian",phone: 757-887-1776,,
Zollinger Museum,"College of William and Mary
Williamsburg, VA 23185
",,,,,"History,",,
The Aberdeen Museum of History,"111 East Third Street
Aberdeen, WA 98520
", 360-533-1976,,,,"General,History,,Services,Gift Shop,","Dann Sears, Director/Curator",e-mail: museum@aberdeen-museum.org,,
Adams County Historical Society Museum,"Lind, WA 99431
",,,,,"Historical Society,","Irma E. Gfeller, Director",,,
African American Museum,"925 Court C
Tacoma, WA 98402
",,,, www.aamuseumtacoma.org/,"Culture,General,History,",Jackie O'Bannon,phone: 253-274-1278,,
The Air Station,"18008 - 59th Avenue Northeast
Arlington, WA 98223
",,,,,,Jeff Thomas,phone: 360-403-9352,,
Association of King County Historical Organizations ,"Seattle, WA 98114
",,,,,,"Alan Stein, President",phone: 425-821-0164,e-mail: sangreal@nwlink.com,,
Alderwood Manor Heritage Association,"19921 Poplar Way
Lynnwood, WA 98036
", 425-775-4694,, info@alderwood.org, www.alderwood.org/,,,
Allied Arts Council of Yakima Valley  Gallery,"5000  West Lincoln Avenue
Yakima, WA 98908
", 509-966-0930, 509-966-0934,, www.alliedartsyakima.org/,"Art,",,
Allied Arts Gallery/Arts Center,"89 Lee Boulevard
Richland, WA 99352
", 509-943-9815,, president@alliedartsrichland.org, www.alliedartsrichland.org/,"Art,",,
Alpowai Interpretive Center/Chief Timothy State Park,"13766 Highway 12
Clarkston, WA 99403
", 360-902-8844,, infocent@parks.wa.gov, www.parks.wa.gov/,"Park,","Scott Griffith, Park Ranger",phone: 509-758-9580,,
American Hop Museum,"22 S B St
Toppenish, WA 98948
", 509-865-4677,, director@americanhopmuseum.org,,,,
Anacortes History Museum,"1305 8th Street
Anacortes, WA 98221
",,,, museum.cityofanacortes.org,"History,Library,","Steve Oakley, Museum Director",phone: 360-293-1915,e-mail: steveo@cityofanacortes.org,,
Anderson Island Historical Society,"9306 Otso Point Road
Anderson Island, WA 98303
",,,, www.andersonislandhs.com,"Historical Society,","Ara Hagan, President",phone: 253-884-2069,,
Anthropology Department Museum,"Central Washington University
Ellensburg, WA 98926
",,,,,"Art,",,
Archer Gallery - Clark College,"1800 E. Mclaughlin Blvd
Vancouver, WA 98660
", 360-992-2246,, bshell@clark.edu, www.clark.edu/news_events/archer/index.php,,"Marjorie Hirsch, Gallery Director",phone: 360-992-2701,,
Art Gallery North Seattle Community College,"9600 College Way North
Seattle, WA 98125
",,, echriste@sccd.ctc.edu, facweb.northseattle.edu/echriste/artdept/NSCC.artgallery.html,"Art,","Brenda Anderson, Curator",e-mail: BAnderson@sccd.ctc.edu,,
Artisans at the Dahmen Barn,"419 North Park Way
Uniontown, WA 99179
", 509-229-3414, 509-229-3700, info@artisanbarn.org, www.artisanbarn.org,"Art,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","Julie Hartwig, Board member & owner Shop at the Barn",phone: 509-229-3414,e-mail: jhartwig@clearwire.net,,
Arts Council of Snohomish County,"1507 Wall Street
Everett, WA 98201
", 425-257-8380,, artsinfo@artscouncilofsnoco.org,,"Art,","Judy Tuohy, Executive Director",phone: 425-257-8380,,
Asotin County Museum,"3rd and Filmore
Asotin, WA 99402
", 509-243-4659,, asotinmuseum@asotin.com, www.asotincountymuseum.com,"Historical Society,","Joe Wilson, President",phone: 509-243-4229,,
Attorney General's Office Exhibition Area,"1116 West Riverside
Spokane, WA 99201
",,,,,,"Linda Sheekf, Legal Secretary",phone: 509-456-3123,,
Aurora Valentinetti Puppet Museum & Evergreen Childrens Theatre,"257 Fourth Street
Bremerton, WA 98337
", 360-373-2992,, musmcurator@telebyte.com, www.ectandpuppets.org,"Children's,Culture,History,Specialized,,Services,Gift ShopGroup Tours,","Stanley W.  Hess, Museum Curator",phone: 360-373-2992,e-mail: musmcurator@telebyte.com,"Mary Hamlin, Coordinator",e-mail: ect@telebyte.com,,
B Reactor Museum Association,"Richland, WA 99352
",,,, www.owt.com/brma/, arrangement.,"Gene Weisskopf, President",phone: 509-946-4082,e-mail: brma@owt.com,,
Bainbridge Island Historical Museum,"215 Ericksen Avenue NE
Bainbridge Island, WA 98110
", 206-842-2773, 206-842-0914, info@bainbridghistory.org, www.bainbridgehistory.org,"History,,Services,Gift ShopOnline Gift Shop,Group Tours,","Hank Helm,  Executive Director",phone: 206-842-2773,e-mail: info@bainbridgehistory.org,"Rick Chandler, Curator",e-mail: curator@bainbridgehistory.org,,
Ballard Historical Society,"3014 NW 67th St
Seattle, WA 98117
",,,,,"Historical Society,","Susan Cooke, President",phone: 206-782-6844,,
Battle Days Museum,"110 5th Ave
Rosalia, WA 99170
", 509-523-4390,, rosaliabattledays@live.com, www.townofrosalia.org,"General,History,","Erma Widman, Curator",phone: 509-523-5991,,
Beaux Arts Gallery - CLOSED,"5250 Outlet Drive
Pasco, WA 99301
",,,,,"Art,",,
Bellevue Art Museum,"301 Bellevue Square
Bellevue, WA 98029
", 425-519-0770,, info@bellevuearts.org, www.bellevuearts.org,"Art,","Mark W. Crawford, Executive Director/CEO",phone: 425-519-0751,,
Bellevue Community College Gallery,"3000 Landerholm Circle SE
Bellevue, WA 98007
", 425-564-1000,,, bellevuecollege.edu,"Art,","John Wesley, Gallery Director",phone: 425-641-2668,,
Benton County Historical Museum,"Prosser City Park
Prosser, WA 99350
",,,,,"History,","Opal Martin, Director",phone: 509-786-3842,,
Big Bend Historical Society,"Wilbur, WA 99185
", 509-647-5401,, bbhs@accima.com, www.wilburwa.com/page17.html,"Historical Society,",,
Bigelow House Museum,"918 Glass Avenue NE
Olympia, WA 98506
", 360-753-1215,, bigelowhousemuseum@gmail.com, www.BigelowHouse.org,"History,Historic House,","Roger Easton, President",,,
Black Diamond Historical Society,"32627 Railroad Ave
Black Diamond, WA 98010
",,, museum@blackdiamondmuseum.org, www.blackdiamondmuseum.org,"Specialized,","Keith Watson, President",phone: 360-886-2142,e-mail: museum@blackdiamondmuseum.org,,
"Black Heritage Society of Washington State, Inc.","Seattle, WA 98122
",,,,,,"Rev. Phyllis R. Beaumonte, President",phone: 206-723-5035,e-mail: rabeaucon@aol.com,"Jacqueline E. A. Lawson, Collections Chair",phone: 206-525-3973,e-mail: JACK8829@aol.com,,
Bloedel Reserve,"7571 NE Dolphin Drive
Bainbridge Island, WA 98110
", 206-842-7631,, email@bloedelreserve.org, www.bloedelreserve.org,"Arboretum,Botanical Garden,,Services,Gift ShopSpecial Event Rental,Group Tours,","Ed Moydell, Executive Director",e-mail: emoydell@bloedelreserve.org ,"Kate Gormley, Programs & Communication Director",e-mail: kgormley@bloedelreserve.org,"Eric Stevens, Development Director",e-mail: estevens@bloedelreserve.org ,,
Bothell Historical Museum Society,"9919 NE 180th
Bothell, WA 98011
", 425-486-1889,, bothellmuseum@gmail.com, www.bothellhistoricalmuseum.org/,"History,Historical Society,","Sue Kienast, President",phone: 425-486-1889,"Kim Dunlap, Webmaster",e-mail: kimberg18@hotmail.com,,
Boundary Dam Visitor Gallery,"Metaline Falls, WA 99153
",,,, www.seattle.gov/light/tours/boundary/,,"Jim Collen, Manager",phone: 509-446-3083,,
Bremerton Historic Ships Association,"300 Washington Beach Ave.
Bremerton, WA 98337
", 360-792-2457,, dd951@sinclair.net, www.ussturnerjoy.org/membership.html,"General,History,Historical Society,Military,Specialized,",,
Burien Arts Gallery,"421 SW 146th St
Seattle, WA 98166
", 206-244-7808,, info@burienarts.org, www.burienarts.org,"Art,","Al Reamer, Director",phone: 206-244-7808,,
Burke Museum of Natural History and Culture,"17th Ave. NE and NE 45th St.
Seattle, WA 98195
", 206-543-5590,, theburke@u.washington.edu, www.burkemuseum.org,"Anthropology,Children's,Culture,History,Natural History,Nature Centers,","Roxana Augusztiny, Acting Director",phone: 206-543-7907,e-mail: recept@u.washington.edu,"Julia Swan, PR Coordinator",e-mail: burkepr@u.washington.edu,,
Camp 6 Logging Museum - CLOSED,"Camp 6 Logging Museum
Point Defiance Park
Tacoma, WA 98407
",,,,,,"Rick Bacon, Past General Manager",,,
Camp Fire Boys and Girls,"8511 15th Avenue NE
Seattle, WA 98115
", 206-461-8550,, info@campfire-usa.org, www.campfirecpsc.org,ntment.,"Chris Cooper, Director of Development",e-mail: chrisc@campfire-usa.org,"Nick Cirignano, Rental & Office Manager",e-mail: nickc@campfire-usa.org,,
Carl S. English Jr. Botanical Garden,"3015 NW 54th Street
Seattle, WA 98107
", 206-783-7059,,, www.gardenvisit.com/garden/carl_s_english_jr_botanical_garden,"Botanical Garden,",,
Carpenter House Museum,"302 W. 3rd Street
Cle Elum, WA 98922
",,,,,"Historic House,","Sarah Engdahl, President",phone: 509-674-5080,,
Cascade Rail Foundation,"801 Milwaukee Road
South Cle Elum, WA 98943
",,,, www.milwelectric.org,"Archaeology,History,Specialized,","Brian H. Lee, Vice President",phone: 509-674-2006,,
Catholic Archdiocese of Seattle Archives,"910 Marion Street
Seattle, WA 98104
",,,, www.seattlearch.org,"History,","Christine Taylor, Archivist",phone: 206-382-4857,e-mail: archives@seattlearch.org,,
Center for Columbia River History,"1109 East 5th Street
Vancouver, WA 98661
",,,, www.ccrh.org,"History,","Mary Wheeler, Program Manager",phone: 360-258-3289,e-mail: info@ccrh.org,,
Center for Puget Sound History and Archaeology,"3000 Lenderholm Circle SE D110
Bellevue, WA 98007
",,,,,"Archaeology,History,","Graham Haslam, Director",phone: 425-603-4189,,
Center for Urban  Horticulture,"Univ. Of WA, GF-15
Seattle, WA 98195
",,,,,"Culture,",,
The Center for Wooden Boats,"1010 Valley Street
Seattle, WA 98109
", 206-382-2628,, cwb@cwb.org, cwb.org,"Culture,History,Specialized,,Services,Gift ShopSpecial Event Rental,","Dick Wagner, Founding Director",e-mail: dick@cwb.org,"Betsy Davis, Executive Director",e-mail: betsy@cwb.org,"Dan Leach, Community Outreach Lead/Boatwright",e-mail: communications@cwb.org,,
Central Washington Agricultural Museum,"4508 Main St.
Union Gap, WA 98903
", 509-457-8735,, info@centralwaagmuseum.org, www.centralwaagmuseum.org/,"History,Science,Specialized,","Robert Eschbach, President",phone: 509-457-8735,"Paul Strater, Membership Coordinator",,,
Centralia College Library Media Center,"6600 West Locust Street
Centralia, WA 98531
", 360-736-9391,, admissions@centralia.edu, www.centralia.edu/,"Library,",,
Centralia Parks & Recreation Department,"902 Johnson Rd
Centralia, WA 98531
", 360-330-7688,, centparks@cityofcentralia.com, www.cityofcentralia.com/SectionIndex.asp?SectionID=8,"Art,",,
Charles R. Connor Museum,"WSU Science Hall 126, 135, 138
Pullman, WA 99164
",,,,,,"Paul Schroeder, Director",phone: 509-335-3553,,
Chehalis Valley Historical Society,"703 West Pioneer Avenue
Montesano, WA 98563
", 370-470-6181,,, Chehalisvalleymuseum@gmail.com,"History,Historic House,Historical Society,,Services,Gift ShopGroup Tours,","Linda Scerbo, Treasurer",,"Jim Borden, President",,,
Chelan County Historical Society,"600 Cotlets Way
Cashmere, WA 98815
", 509-782-3230, 509-782-3219,,,"Historical Society,","Bill Rietveldt, Director",phone: 509-782-3230,,
Cheney Cowles Museum,"W. 2316 First Avenue
Spokane, WA 99204
", 509-456-3931,,,,"History,","Maurine Barrett, Deputy Director of Admissions",phone: 509-456-3931,,
Cheney Historical Museum,"420 1st St
Cheney, WA 99004
", 509-235-2202,, info@cheneymuseum.org, www.cheneymuseum.org,"History,Historical Society,,Services,Gift ShopGroup Tours,","Joan Mamanakis, Co-Director",phone: 509-235-2202,e-mail: director@cheneymuseum.org,"Ann Heehn, Co-Director",phone: 509-235-2202,e-mail: heean07@gmail.com,"Barbara Curtis, Research",phone: 509-235-2202,,
Chewelah Museum,"501 3rd St.
Chewelah, WA 99109
", 509-935-6091,, info@chewelah.org, www.chewelah.org,"Culture,General,History,Historical Society,Library,,Services,Group Tours,","Barbara Swanson, Curator",phone: 509-935-6091,e-mail: swansonb@live.com,"Kathy Schnieder, Staff",phone: 509-935-0533,,
Children's Activity Museum,"118 E 4th Avenue
Ellensburg, WA 98926
", 509-925-6789,, childrensmuseum@kvalley.com, www.thechildrensactivitymuseum.org,"Children's,,Services,Special Event Rental,","Angela Martin, Executive Director",phone: 509-925-6789,e-mail: childrensmuseum@kvalley.com,,
Children's Museum of Tacoma,"1501 Pacific Ave
Tacoma, WA 98402
", 253-627-6031,,, www.playtacoma.org,"Children's,,Services,Gift ShopSpecial Event Rental,","Tanya Andrews, Executive Director",phone: 253-627-6031,e-mail: tanyaandrews@hotmail.com,"Brenda Hanan, Director of Communication and Operations",phone: 253-627-6031,e-mail: bhanan@playtacoma.org,"Debbie Kray, Director of Education",phone: 253-627-6031,e-mail: debbiekray@hotmail.com,"Alysia Jines, Exhibits & Program Coordinator",phone: 253-627-6031,e-mail: ajines@childrensmuseumoftacoma.org,"Deean Marsh, Experience & Program Manager",phone: 253-627-6031,e-mail: dmarsh@playtacoma.org,,
